WaveLength(nm) ,Level(dBm)
789.80000      ,-60.359       
789.93000      ,-60.266       
790.06000      ,-60.380       
790.19000      ,-60.749       
790.32000      ,-61.144       
790.45000      ,-59.186       
790.58000      ,-59.127       
790.71000      ,-59.104       
790.84000      ,-57.846       
790.97000      ,-58.318       
791.10000      ,-59.104       
791.23000      ,-59.391       
791.36000      ,-61.514       
791.49000      ,-60.922       
791.62000      ,-59.495       
791.75000      ,-59.613       
791.88000      ,-62.217       
792.01000      ,-61.534       
792.14000      ,-59.056       
792.27000      ,-58.214       
792.40000      ,-59.039       
792.53000      ,-61.796       
792.66000      ,-59.917       
792.79000      ,-60.078       
792.92000      ,-61.626       
793.05000      ,-59.439       
793.18000      ,-58.567       
793.31000      ,-57.409       
793.44000      ,-58.077       
793.57000      ,-61.809       
793.70000      ,-61.848       
793.83000      ,-63.243       
793.96000      ,-64.908       
794.09000      ,-62.901       
794.22000      ,-59.622       
794.35000      ,-58.544       
794.48000      ,-57.627       
794.61000      ,-59.851       
794.74000      ,-60.754       
794.87000      ,-59.500       
795.00000      ,-61.754       
795.13000      ,-59.738       
795.26000      ,-59.500       
795.39000      ,-59.978       
795.52000      ,-59.284       
795.65000      ,-60.680       
795.78000      ,-59.710       
795.91000      ,-55.973       
796.04000      ,-56.302       
796.17000      ,-58.574       
796.30000      ,-60.508       
796.43000      ,-63.865       
796.56000      ,-59.960       
796.69000      ,-57.721       
796.82000      ,-55.909       
796.95000      ,-56.677       
797.08000      ,-60.449       
797.21000      ,-61.310       
797.34000      ,-59.219       
797.47000      ,-57.063       
797.60000      ,-57.463       
797.73000      ,-60.557       
797.86000      ,-63.761       
797.99000      ,-65.498       
798.12000      ,-65.228       
798.25000      ,-63.262       
798.38000      ,-63.826       
798.51000      ,-62.124       
798.64000      ,-60.288       
798.77000      ,-61.337       
798.90000      ,-63.036       
799.03000      ,-59.006       
799.16000      ,-57.127       
799.29000      ,-58.131       
799.42000      ,-59.930       
799.55000      ,-59.841       
799.68000      ,-59.223       
799.81000      ,-60.925       
799.94000      ,-62.900       
800.07000      ,-62.226       
800.20000      ,-61.908       
800.33000      ,-62.811       
800.46000      ,-62.243       
800.59000      ,-60.090       
800.72000      ,-60.031       
800.85000      ,-59.806       
800.98000      ,-62.205       
801.11000      ,-61.858       
801.24000      ,-62.555       
801.37000      ,-65.759       
801.50000      ,-63.364       
801.63000      ,-61.265       
801.76000      ,-61.376       
801.89000      ,-62.614       
802.02000      ,-63.462       
802.15000      ,-62.654       
802.28000      ,-61.639       
802.41000      ,-62.014       
802.54000      ,-62.295       
802.67000      ,-62.636       
802.80000      ,-63.050       
802.93000      ,-62.652       
803.06000      ,-64.176       
803.19000      ,-64.954       
803.32000      ,-65.596       
803.45000      ,-63.520       
803.58000      ,-62.706       
803.71000      ,-63.592       
803.84000      ,-64.429       
803.97000      ,-64.545       
804.10000      ,-62.645       
804.23000      ,-62.555       
804.36000      ,-63.072       
804.49000      ,-64.159       
804.62000      ,-64.892       
804.75000      ,-65.121       
804.88000      ,-67.606       
805.01000      ,-64.268       
805.14000      ,-61.791       
805.27000      ,-61.751       
805.40000      ,-62.910       
805.53000      ,-62.701       
805.66000      ,-62.730       
805.79000      ,-63.371       
805.92000      ,-64.100       
806.05000      ,-64.250       
806.18000      ,-65.467       
806.31000      ,-68.050       
806.44000      ,-67.066       
806.57000      ,-63.356       
806.70000      ,-62.151       
806.83000      ,-63.270       
806.96000      ,-65.221       
807.09000      ,-64.707       
807.22000      ,-64.940       
807.35000      ,-68.564       
807.48000      ,-68.570       
807.61000      ,-65.744       
807.74000      ,-64.166       
807.87000      ,-65.135       
808.00000      ,-64.378       
808.13000      ,-63.195       
808.26000      ,-63.796       
808.39000      ,-63.711       
808.52000      ,-63.168       
808.65000      ,-63.393       
808.78000      ,-65.716       
808.91000      ,-67.569       
